Curso	Ano	Matriculados
MATEMATICA_ENSINO_A_DISTANCIA_EAD	2010	11
MATEMATICA_ENSINO_A_DISTANCIA_EAD	2010	13
MEDICINA	2010	842
MEDICINA	2010	848
MEDICINA_VETERINARIA	2010	474
MEDICINA_VETERINARIA	2010	476
MUSEOLOGIA	2010	74
MUSEOLOGIA	2010	76
MUSICA	2010	215
MUSICA	2010	229
MUSICA_ENSINO_A_DISTANCIA_EAD	2010	397
MUSICA_ENSINO_A_DISTANCIA_EAD	2010	421
NUTRICAO	2010	160
NUTRICAO	2010	185
ODONTOLOGIA	2010	431
ODONTOLOGIA	2010	459
PEDAGOGIA	2010	457
PEDAGOGIA	2010	461
PEDAGOGIA_EAD	2010	335
PEDAGOGIA_EAD	2010	337
POLITICAS_PUBLICAS	2010	40
POLITICAS_PUBLICAS	2010	44
PSICOLOGIA	2010	286
PSICOLOGIA	2010	293
QUIMICA	2010	431
QUIMICA	2010	458
RELACOES_INTERNACIONAIS	2010	184
RELACOES_INTERNACIONAIS	2010	185
RELACOES_PUBLICAS	2010	13
RELACOES_PUBLICAS	2010	14
SAUDE_COLETIVA	2010	66
SAUDE_COLETIVA	2010	85
SERVICO_SOCIAL	2010	30
SERVICO_SOCIAL	2010	31
TEATRO	2010	147
TEATRO	2010	160
TECNOLOGIA_EM_DESENVOLVIMENTO_RURAL_EAD	2010	504
TECNOLOGIA_EM_DESENVOLVIMENTO_RURAL_EAD	2010	610
ADMINISTRACAO	2011	1380
ADMINISTRACAO	2011	1406
AGRONOMIA	2011	426
AGRONOMIA	2011	436
ARQUITETURA_E_URBANISMO	2011	552
ARQUITETURA_E_URBANISMO	2011	563
ARQUIVOLOGIA	2011	138
ARQUIVOLOGIA	2011	142
ARTES_VISUAIS	2011	467
ARTES_VISUAIS	2011	477
ARTES_VISUAIS_ENSINO_A_DISTANCIA_EAD	2011	70
ARTES_VISUAIS_ENSINO_A_DISTANCIA_EAD	2011	73
BIBLIOTECONOMIA	2011	356
BIBLIOTECONOMIA	2011	373
BIOMEDICINA	2011	125
BIOMEDICINA	2011	127
BIOTECNOLOGIA	2011	52
BIOTECNOLOGIA	2011	56
CIENCIA_DA_COMPUTACAO	2011	511
CIENCIA_DA_COMPUTACAO	2011	518
CIENCIAS_ATUARIAIS	2011	174
CIENCIAS_ATUARIAIS	2011	179
CIENCIAS_BIOLOGICAS	2011	506
CIENCIAS_BIOLOGICAS	2011	514
CIENCIAS_BIOLOGICAS_CECLIMAR	2011	62
CIENCIAS_BIOLOGICAS_CECLIMAR	2011	82
CIENCIAS_BIOLOGICAS_ENSINO_A_DISTANCIA_EAD	2011	19
CIENCIAS_BIOLOGICAS_ENSINO_A_DISTANCIA_EAD	2011	19
CIENCIAS_CONTABEIS	2011	673
CIENCIAS_CONTABEIS	2011	678
CIENCIAS_ECONOMICAS	2011	700
CIENCIAS_ECONOMICAS	2011	712
CIENCIAS_JURIDICAS_E_SOCIAIS	2011	756
CIENCIAS_JURIDICAS_E_SOCIAIS	2011	756
CIENCIAS_SOCIAIS	2011	829
CIENCIAS_SOCIAIS	2011	869
COMUNICACAO_SOCIAL	2011	673
COMUNICACAO_SOCIAL	2011	700
DANCA	2011	68
DANCA	2011	75
DESIGN	2011	158
DESIGN	2011	163
DESIGN_DE_PRODUTO	2011	34
DESIGN_DE_PRODUTO	2011	52
DESIGN_VISUAL	2011	44
DESIGN_VISUAL	2011	59
EDUCACAO_FISICA	2011	710
EDUCACAO_FISICA	2011	713
ENFERMAGEM	2011	426
ENFERMAGEM	2011	433
ENGENHARIA_AMBIENTAL	2011	145
ENGENHARIA_AMBIENTAL	2011	145
ENGENHARIA_CARTOGRAFICA	2011	119
ENGENHARIA_CARTOGRAFICA	2011	134
ENGENHARIA_CIVIL	2011	877
ENGENHARIA_CIVIL	2011	893
ENGENHARIA_DE_ALIMENTOS	2011	146
ENGENHARIA_DE_ALIMENTOS	2011	154
ENGENHARIA_DE_COMPUTACAO	2011	233
ENGENHARIA_DE_COMPUTACAO	2011	241
ENGENHARIA_DE_CONTROLE_E_AUTOMACAO	2011	90
ENGENHARIA_DE_CONTROLE_E_AUTOMACAO	2011	101
ENGENHARIA_DE_ENERGIA	2011	44
ENGENHARIA_DE_ENERGIA	2011	47
ENGENHARIA_DE_MATERIAIS	2011	143
ENGENHARIA_DE_MATERIAIS	2011	163
ENGENHARIA_DE_MINAS	2011	136
ENGENHARIA_DE_MINAS	2011	148
ENGENHARIA_DE_PRODUCAO	2011	321
ENGENHARIA_DE_PRODUCAO	2011	333
ENGENHARIA_ELETRICA	2011	460
ENGENHARIA_ELETRICA	2011	467
ENGENHARIA_FISICA	2011	49
ENGENHARIA_FISICA	2011	51
ENGENHARIA_MECANICA	2011	658
ENGENHARIA_MECANICA	2011	678
ENGENHARIA_METALURGICA	2011	246
ENGENHARIA_METALURGICA	2011	273
ENGENHARIA_QUIMICA	2011	400
ENGENHARIA_QUIMICA	2011	407
ESTATISTICA	2011	153
ESTATISTICA	2011	180
FARMACIA	2011	686
FARMACIA	2011	696
FILOSOFIA	2011	225
FILOSOFIA	2011	252
FISICA	2011	459
FISICA	2011	519
FISIOTERAPIA	2011	84
FISIOTERAPIA	2011	85
FONOAUDIOLOGIA	2011	100
FONOAUDIOLOGIA	2011	101
GEOGRAFIA	2011	362
GEOGRAFIA	2011	366
GEOLOGIA	2011	235
GEOLOGIA	2011	240
HISTORIA	2011	543
HISTORIA	2011	580
HISTORIA_DA_ARTE	2011	47
HISTORIA_DA_ARTE	2011	50
JORNALISMO	2011	14
JORNALISMO	2011	21
LETRAS	2011	986
LETRAS	2011	1115
LETRAS_INGLES_ENSINO_A_DISTANCIA_EAD	2011	33
LETRAS_INGLES_ENSINO_A_DISTANCIA_EAD	2011	36
MATEMATICA	2011	478
MATEMATICA	2011	493
MATEMATICA_ENSINO_A_DISTANCIA_EAD	2011	9
MATEMATICA_ENSINO_A_DISTANCIA_EAD	2011	11
MEDICINA	2011	865
MEDICINA	2011	865
MEDICINA_VETERINARIA	2011	492
MEDICINA_VETERINARIA	2011	507
MUSEOLOGIA	2011	100
MUSEOLOGIA	2011	100
MUSICA	2011	236
MUSICA	2011	259
MUSICA_ENSINO_A_DISTANCIA_EAD	2011	345
MUSICA_ENSINO_A_DISTANCIA_EAD	2011	346
NUTRICAO	2011	182
NUTRICAO	2011	201
ODONTOLOGIA	2011	463
ODONTOLOGIA	2011	493
PEDAGOGIA	2011	462
PEDAGOGIA	2011	476
PEDAGOGIA_EAD	2011	23
POLITICAS_PUBLICAS	2011	77
POLITICAS_PUBLICAS	2011	85
PSICOLOGIA	2011	305
PSICOLOGIA	2011	329
QUIMICA	2011	451
QUIMICA	2011	477
RELACOES_INTERNACIONAIS	2011	196
RELACOES_INTERNACIONAIS	2011	209
RELACOES_PUBLICAS	2011	16
RELACOES_PUBLICAS	2011	29
SAUDE_COLETIVA	2011	114
SAUDE_COLETIVA	2011	131
SERVICO_SOCIAL	2011	56
SERVICO_SOCIAL	2011	60
TEATRO	2011	153
TEATRO	2011	165
TECNOLOGIA_EM_DESENVOLVIMENTO_RURAL_EAD	2011	300
TECNOLOGIA_EM_DESENVOLVIMENTO_RURAL_EAD	2011	455
ADMINISTRACAO	2012	1451
ADMINISTRACAO	2012	1478
AGRONOMIA	2012	426
AGRONOMIA	2012	426
ARQUITETURA_E_URBANISMO	2012	552
ARQUITETURA_E_URBANISMO	2012	554
ARQUIVOLOGIA	2012	140
ARQUIVOLOGIA	2012	158
ARTES_VISUAIS	2012	452
ARTES_VISUAIS	2012	494
ARTES_VISUAIS_ENSINO_A_DISTANCIA_EAD	2012	67
ARTES_VISUAIS_ENSINO_A_DISTANCIA_EAD	2012	68
BIBLIOTECONOMIA	2012	340
BIBLIOTECONOMIA	2012	366
BIOMEDICINA	2012	111
BIOMEDICINA	2012	132
BIOTECNOLOGIA	2012	74
BIOTECNOLOGIA	2012	84
CIENCIA_DA_COMPUTACAO	2012	520
CIENCIA_DA_COMPUTACAO	2012	546
CIENCIAS_ATUARIAIS	2012	182
CIENCIAS_ATUARIAIS	2012	217
CIENCIAS_BIOLOGICAS	2012	520
CIENCIAS_BIOLOGICAS	2012	526
CIENCIAS_BIOLOGICAS_CECLIMAR	2012	60
CIENCIAS_BIOLOGICAS_CECLIMAR	2012	78
CIENCIAS_BIOLOGICAS_ENSINO_A_DISTANCIA_EAD	2012	19
CIENCIAS_BIOLOGICAS_ENSINO_A_DISTANCIA_EAD	2012	19
CIENCIAS_CONTABEIS	2012	696
CIENCIAS_CONTABEIS	2012	722
CIENCIAS_ECONOMICAS	2012	741
CIENCIAS_ECONOMICAS	2012	741
CIENCIAS_JURIDICAS_E_SOCIAIS	2012	791
CIENCIAS_JURIDICAS_E_SOCIAIS	2012	909
CIENCIAS_SOCIAIS	2012	813
CIENCIAS_SOCIAIS	2012	890
COMUNICACAO_SOCIAL	2012	583
COMUNICACAO_SOCIAL	2012	622
DANCA	2012	94
DANCA	2012	102
DESIGN	2012	134
DESIGN	2012	148
DESIGN_DE_PRODUTO	2012	69
DESIGN_DE_PRODUTO	2012	90
DESIGN_VISUAL	2012	71
DESIGN_VISUAL	2012	85
EDUCACAO_FISICA	2012	694
EDUCACAO_FISICA	2012	729
ENFERMAGEM	2012	437
ENFERMAGEM	2012	438
ENGENHARIA_AMBIENTAL	2012	140
ENGENHARIA_AMBIENTAL	2012	154
ENGENHARIA_CARTOGRAFICA	2012	129
ENGENHARIA_CARTOGRAFICA	2012	146
ENGENHARIA_CIVIL	2012	926
ENGENHARIA_CIVIL	2012	930
ENGENHARIA_DE_ALIMENTOS	2012	146
ENGENHARIA_DE_ALIMENTOS	2012	160
ENGENHARIA_DE_COMPUTACAO	2012	236
ENGENHARIA_DE_COMPUTACAO	2012	245
ENGENHARIA_DE_CONTROLE_E_AUTOMACAO	2012	113
ENGENHARIA_DE_CONTROLE_E_AUTOMACAO	2012	118
ENGENHARIA_DE_ENERGIA	2012	62
ENGENHARIA_DE_ENERGIA	2012	65
ENGENHARIA_DE_MATERIAIS	2012	153
ENGENHARIA_DE_MATERIAIS	2012	153
ENGENHARIA_DE_MINAS	2012	144
ENGENHARIA_DE_MINAS	2012	163
ENGENHARIA_DE_PRODUCAO	2012	324
ENGENHARIA_DE_PRODUCAO	2012	325
ENGENHARIA_ELETRICA	2012	466
ENGENHARIA_ELETRICA	2012	471
ENGENHARIA_FISICA	2012	74
ENGENHARIA_FISICA	2012	77
ENGENHARIA_HIDRICA	2012	22
ENGENHARIA_MECANICA	2012	670
ENGENHARIA_MECANICA	2012	671
ENGENHARIA_METALURGICA	2012	271
ENGENHARIA_METALURGICA	2012	287
ENGENHARIA_QUIMICA	2012	373
ENGENHARIA_QUIMICA	2012	385
ESTATISTICA	2012	149
ESTATISTICA	2012	170
FARMACIA	2012	670
FARMACIA	2012	701
FILOSOFIA	2012	240
FILOSOFIA	2012	295
FISICA	2012	423
FISICA	2012	478
FISIOTERAPIA	2012	106
FISIOTERAPIA	2012	112
FONOAUDIOLOGIA	2012	116
FONOAUDIOLOGIA	2012	120
GEOGRAFIA	2012	358
GEOGRAFIA	2012	369
GEOLOGIA	2012	220
GEOLOGIA	2012	236
HISTORIA	2012	556
HISTORIA	2012	579
HISTORIA_DA_ARTE	2012	67
HISTORIA_DA_ARTE	2012	70
JORNALISMO	2012	37
JORNALISMO	2012	57
LETRAS	2012	942
LETRAS	2012	1104
LETRAS_INGLES_ENSINO_A_DISTANCIA_EAD	2012	31
LETRAS_INGLES_ENSINO_A_DISTANCIA_EAD	2012	32
MATEMATICA	2012	448
MATEMATICA	2012	459
MATEMATICA_ENSINO_A_DISTANCIA_EAD	2012	14
MATEMATICA_ENSINO_A_DISTANCIA_EAD	2012	14
MEDICINA	2012	854
MEDICINA	2012	858
MEDICINA_VETERINARIA	2012	507
MEDICINA_VETERINARIA	2012	516
MUSEOLOGIA	2012	113
MUSEOLOGIA	2012	123
MUSICA	2012	241
MUSICA	2012	256
MUSICA_ENSINO_A_DISTANCIA_EAD	2012	258
NUTRICAO	2012	215
NUTRICAO	2012	230
ODONTOLOGIA	2012	492
ODONTOLOGIA	2012	516
PEDAGOGIA	2012	466
PEDAGOGIA	2012	493
POLITICAS_PUBLICAS	2012	110
POLITICAS_PUBLICAS	2012	122
PSICOLOGIA	2012	359
PSICOLOGIA	2012	374
QUIMICA	2012	461
QUIMICA	2012	476
RELACOES_INTERNACIONAIS	2012	211
RELACOES_INTERNACIONAIS	2012	223
RELACOES_PUBLICAS	2012	46
RELACOES_PUBLICAS	2012	64
SAUDE_COLETIVA	2012	138
SAUDE_COLETIVA	2012	156
SERVICO_SOCIAL	2012	79
SERVICO_SOCIAL	2012	81
TEATRO	2012	153
TEATRO	2012	167
TECNOLOGIA_EM_DESENVOLVIMENTO_RURAL_EAD	2012	163
TECNOLOGIA_EM_DESENVOLVIMENTO_RURAL_EAD	2012	171
ZOOTECNIA	2012	24
ZOOTECNIA	2012	42
ADMINISTRACAO	2013	1518
ADMINISTRACAO	2013	1551
AGRONOMIA	2013	443
AGRONOMIA	2013	451
ARQUITETURA_E_URBANISMO	2013	553
ARQUITETURA_E_URBANISMO	2013	562
ARQUIVOLOGIA	2013	134
ARQUIVOLOGIA	2013	142
ARTES_VISUAIS	2013	497
ARTES_VISUAIS	2013	506
BIBLIOTECONOMIA	2013	339
BIBLIOTECONOMIA	2013	340
BIOMEDICINA	2013	128
BIOMEDICINA	2013	137
BIOTECNOLOGIA	2013	89
BIOTECNOLOGIA	2013	94
CIENCIA_DA_COMPUTACAO	2013	542
CIENCIA_DA_COMPUTACAO	2013	562
CIENCIAS_ATUARIAIS	2013	190
CIENCIAS_ATUARIAIS	2013	217
CIENCIAS_BIOLOGICAS	2013	513
CIENCIAS_BIOLOGICAS	2013	519
CIENCIAS_BIOLOGICAS_CECLIMAR	2013	62
CIENCIAS_BIOLOGICAS_CECLIMAR	2013	79
CIENCIAS_CONTABEIS	2013	726
CIENCIAS_CONTABEIS	2013	739
CIENCIAS_ECONOMICAS	2013	704
CIENCIAS_ECONOMICAS	2013	722
CIENCIAS_JURIDICAS_E_SOCIAIS	2013	880
CIENCIAS_JURIDICAS_E_SOCIAIS	2013	1078
CIENCIAS_SOCIAIS	2013	829
CIENCIAS_SOCIAIS	2013	926
COMUNICACAO_SOCIAL	2013	562
COMUNICACAO_SOCIAL	2013	569
DANCA	2013	118
DANCA	2013	119
DESIGN	2013	112
DESIGN	2013	121
DESIGN_DE_PRODUTO	2013	107
DESIGN_DE_PRODUTO	2013	114
DESIGN_VISUAL	2013	100
DESIGN_VISUAL	2013	114
EDUCACAO_FISICA	2013	658
EDUCACAO_FISICA	2013	723
ENFERMAGEM	2013	452
ENFERMAGEM	2013	455
ENGENHARIA_AMBIENTAL	2013	150
ENGENHARIA_AMBIENTAL	2013	164
ENGENHARIA_CARTOGRAFICA	2013	138
ENGENHARIA_CARTOGRAFICA	2013	154
ENGENHARIA_CIVIL	2013	945
ENGENHARIA_CIVIL	2013	961
ENGENHARIA_DE_ALIMENTOS	2013	155
ENGENHARIA_DE_ALIMENTOS	2013	159
ENGENHARIA_DE_COMPUTACAO	2013	248
ENGENHARIA_DE_COMPUTACAO	2013	262
ENGENHARIA_DE_CONTROLE_E_AUTOMACAO	2013	134
ENGENHARIA_DE_CONTROLE_E_AUTOMACAO	2013	138
ENGENHARIA_DE_ENERGIA	2013	92
ENGENHARIA_DE_ENERGIA	2013	94
ENGENHARIA_DE_MATERIAIS	2013	165
ENGENHARIA_DE_MATERIAIS	2013	180
ENGENHARIA_DE_MINAS	2013	150
ENGENHARIA_DE_MINAS	2013	156
ENGENHARIA_DE_PRODUCAO	2013	329
ENGENHARIA_DE_PRODUCAO	2013	332
ENGENHARIA_ELETRICA	2013	446
ENGENHARIA_ELETRICA	2013	451
ENGENHARIA_FISICA	2013	109
ENGENHARIA_FISICA	2013	110
ENGENHARIA_HIDRICA	2013	23
ENGENHARIA_HIDRICA	2013	47
ENGENHARIA_MECANICA	2013	651
ENGENHARIA_MECANICA	2013	664
ENGENHARIA_METALURGICA	2013	296
ENGENHARIA_METALURGICA	2013	312
ENGENHARIA_QUIMICA	2013	381
ENGENHARIA_QUIMICA	2013	384
ESTATISTICA	2013	148
ESTATISTICA	2013	158
FARMACIA	2013	629
FARMACIA	2013	631
FILOSOFIA	2013	263
FILOSOFIA	2013	313
FISICA	2013	405
FISICA	2013	463
FISIOTERAPIA	2013	132
FISIOTERAPIA	2013	138
FONOAUDIOLOGIA	2013	117
FONOAUDIOLOGIA	2013	118
GEOGRAFIA	2013	389
GEOGRAFIA	2013	395
GEOLOGIA	2013	233
GEOLOGIA	2013	234
HISTORIA	2013	582
HISTORIA	2013	634
HISTORIA_DA_ARTE	2013	90
HISTORIA_DA_ARTE	2013	102
JORNALISMO	2013	78
JORNALISMO	2013	100
LETRAS	2013	919
LETRAS	2013	1034
MATEMATICA	2013	411
MATEMATICA	2013	429
MEDICINA	2013	847
MEDICINA	2013	849
MEDICINA_VETERINARIA	2013	507
MEDICINA_VETERINARIA	2013	507
MUSEOLOGIA	2013	128
MUSEOLOGIA	2013	131
MUSICA	2013	265
MUSICA	2013	276
NUTRICAO	2013	238
NUTRICAO	2013	261
ODONTOLOGIA	2013	496
ODONTOLOGIA	2013	532
PEDAGOGIA	2013	476
PEDAGOGIA	2013	504
POLITICAS_PUBLICAS	2013	148
POLITICAS_PUBLICAS	2013	157
PSICOLOGIA	2013	386
PSICOLOGIA	2013	391
QUIMICA	2013	492
QUIMICA	2013	552
RELACOES_INTERNACIONAIS	2013	236
RELACOES_INTERNACIONAIS	2013	240
RELACOES_PUBLICAS	2013	91
RELACOES_PUBLICAS	2013	112
SAUDE_COLETIVA	2013	189
SAUDE_COLETIVA	2013	201
SERVICO_SOCIAL	2013	103
SERVICO_SOCIAL	2013	110
TEATRO	2013	151
TEATRO	2013	168
TECNOLOGIA_EM_DESENVOLVIMENTO_RURAL_EAD	2013	161
TECNOLOGIA_EM_DESENVOLVIMENTO_RURAL_EAD	2013	161
ZOOTECNIA	2013	58
ZOOTECNIA	2013	76
ADMINISTRACAO	2014	1578
ADMINISTRACAO	2014	1591
AGRONOMIA	2014	462
AGRONOMIA	2014	463
ARQUITETURA_E_URBANISMO	2014	553
ARQUITETURA_E_URBANISMO	2014	574
ARQUIVOLOGIA	2014	127
ARQUIVOLOGIA	2014	150
ARTES_VISUAIS	2014	478
ARTES_VISUAIS	2014	502
BACHARELADO_EM_DESENVOLVIMENTO_RURAL_EAD	2014	371
BACHARELADO_EM_DESENVOLVIMENTO_RURAL_EAD	2014	406
BIBLIOTECONOMIA	2014	343
BIBLIOTECONOMIA	2014	356
BIOMEDICINA	2014	133
BIOMEDICINA	2014	141
BIOTECNOLOGIA	2014	93
BIOTECNOLOGIA	2014	105
CIENCIA_DA_COMPUTACAO	2014	529
CIENCIA_DA_COMPUTACAO	2014	566
CIENCIAS_ATUARIAIS	2014	177
CIENCIAS_ATUARIAIS	2014	217
CIENCIAS_BIOLOGICAS	2014	533
CIENCIAS_BIOLOGICAS	2014	536
CIENCIAS_BIOLOGICAS_CECLIMAR	2014	66
CIENCIAS_BIOLOGICAS_CECLIMAR	2014	85
CIENCIAS_CONTABEIS	2014	720
CIENCIAS_CONTABEIS	2014	723
CIENCIAS_ECONOMICAS	2014	707
CIENCIAS_ECONOMICAS	2014	712
CIENCIAS_JURIDICAS_E_SOCIAIS	2014	1087
CIENCIAS_JURIDICAS_E_SOCIAIS	2014	1282
CIENCIAS_SOCIAIS	2014	829
CIENCIAS_SOCIAIS	2014	887
COMUNICACAO_SOCIAL	2014	479
COMUNICACAO_SOCIAL	2014	495
DANCA	2014	129
DANCA	2014	133
DESIGN	2014	88
DESIGN	2014	90
DESIGN_DE_PRODUTO	2014	137
DESIGN_DE_PRODUTO	2014	149
DESIGN_VISUAL	2014	136
DESIGN_VISUAL	2014	143
EDUCACAO_DO_CAMPO_LITORAL	2014	46
EDUCACAO_DO_CAMPO_PORTO_ALEGRE	2014	24
EDUCACAO_FISICA	2014	746
EDUCACAO_FISICA	2014	763
ENFERMAGEM	2014	455
ENFERMAGEM	2014	461
ENGENHARIA_AMBIENTAL	2014	156
ENGENHARIA_AMBIENTAL	2014	166
ENGENHARIA_CARTOGRAFICA	2014	141
ENGENHARIA_CARTOGRAFICA	2014	156
ENGENHARIA_CIVIL	2014	973
ENGENHARIA_CIVIL	2014	989
ENGENHARIA_DE_ALIMENTOS	2014	162
ENGENHARIA_DE_ALIMENTOS	2014	171
ENGENHARIA_DE_COMPUTACAO	2014	291
ENGENHARIA_DE_COMPUTACAO	2014	302
ENGENHARIA_DE_CONTROLE_E_AUTOMACAO	2014	159
ENGENHARIA_DE_CONTROLE_E_AUTOMACAO	2014	161
ENGENHARIA_DE_ENERGIA	2014	111
ENGENHARIA_DE_ENERGIA	2014	117
ENGENHARIA_DE_MATERIAIS	2014	180
ENGENHARIA_DE_MATERIAIS	2014	200
ENGENHARIA_DE_MINAS	2014	154
ENGENHARIA_DE_MINAS	2014	171
ENGENHARIA_DE_PRODUCAO	2014	332
ENGENHARIA_DE_PRODUCAO	2014	351
ENGENHARIA_ELETRICA	2014	448
ENGENHARIA_ELETRICA	2014	456
ENGENHARIA_FISICA	2014	113
ENGENHARIA_FISICA	2014	137
ENGENHARIA_HIDRICA	2014	41
ENGENHARIA_HIDRICA	2014	64
ENGENHARIA_MECANICA	2014	671
ENGENHARIA_MECANICA	2014	700
ENGENHARIA_METALURGICA	2014	286
ENGENHARIA_METALURGICA	2014	320
ENGENHARIA_QUIMICA	2014	432
ENGENHARIA_QUIMICA	2014	472
ESTATISTICA	2014	151
ESTATISTICA	2014	165
FARMACIA	2014	592
FARMACIA	2014	621
FILOSOFIA	2014	275
FILOSOFIA	2014	297
FISICA	2014	426
FISICA	2014	462
FISIOTERAPIA	2014	135
FISIOTERAPIA	2014	141
FONOAUDIOLOGIA	2014	117
FONOAUDIOLOGIA	2014	123
GEOGRAFIA	2014	385
GEOGRAFIA	2014	389
GEOLOGIA	2014	233
GEOLOGIA	2014	235
HISTORIA	2014	597
HISTORIA	2014	648
HISTORIA_DA_ARTE	2014	99
HISTORIA_DA_ARTE	2014	109
INTERDISCIPLINAR_EM_CIENCIA_E_TECNOLOGIA_LITORAL_NORTE	2014	73
JORNALISMO	2014	118
JORNALISMO	2014	146
LETRAS	2014	917
LETRAS	2014	1017
MATEMATICA	2014	397
MATEMATICA	2014	430
MEDICINA	2014	841
MEDICINA	2014	851
MEDICINA_VETERINARIA	2014	534
MEDICINA_VETERINARIA	2014	537
MUSEOLOGIA	2014	128
MUSEOLOGIA	2014	137
MUSICA	2014	288
MUSICA	2014	306
NUTRICAO	2014	273
NUTRICAO	2014	274
ODONTOLOGIA	2014	528
ODONTOLOGIA	2014	544
PEDAGOGIA	2014	497
PEDAGOGIA	2014	506
POLITICAS_PUBLICAS	2014	161
POLITICAS_PUBLICAS	2014	185
PSICOLOGIA	2014	368
PSICOLOGIA	2014	385
QUIMICA	2014	534
QUIMICA	2014	563
RELACOES_INTERNACIONAIS	2014	240
RELACOES_INTERNACIONAIS	2014	252
RELACOES_PUBLICAS	2014	133
RELACOES_PUBLICAS	2014	156
